Name,Set code,Language,Quantity
Austere Command,M3C,de,1
Autarch Mammoth,DFT,de,1
Authority of the Consuls,FDN,de,2
Authority of the Consuls,FIC,en,1
Auton Soldier,WHO,de,1
Auxiliary Boosters,EOE,de,3
Avacynian Priest,INR,de,1
Aven Augur,FUT,de,1
Aven Fisher,DMR,de,3
Aven Flock,9ED,de,2
Aven Riftwatcher,TSR,de,3
Aven Windreader,10E,de,1
Avenging Hunter,CLB,de,2
Avishkar Raceway,DFT,de,3
Awakened Awareness,NEO,en,1
Awe Strike,MRD,de,1
Axgard Cavalry,FDN,de,4
Azorius Aethermage,DIS,de,1
Azorius Chancery,BRC,de,1
Azorius Chancery,DSC,de,4
Azorius First-Wing,DIS,de,4
Azorius Guildmage,GK2,de,2
Azorius Herald,GK2,de,1
Azorius Ploy,DIS,de,1
Azorius Signet,ARC,de,2
Azorius Signet,BRC,de,1
Azure Drake,M11,de,1
"Baba Lysaga, Night Witch",CLB,de,2
Back on Track,DFT,de,1
Bag of Holding,AFR,en,1
Bag of Holding,CLB,de,1
Bake into a Pie,FDN,de,2
Bakersbane Duo,BLB,de,2
Balamb T-Rexaur,FIN,de,2
Baleful Strix,FIC,en,1
Baleful Strix,OTC,de,1
Ballista Watcher // Ballista Wielder,VOW,de,1
Bane's Contingency,CLB,de,1
Banishing Light,BLB,de,1
Banishing Light,EOE,de,3
Banishing Light,FDN,de,2
"Banon, the Returners' Leader",FIC,de,1
Banshee's Blade,MRD,de,1
Barad-dûr,LTR,en,1
Barbarian Riftcutter,RAV,de,2
Barbed Lightning,DST,de,1
Bard Class,AFR,en,1
Barkform Harvester,BLB,de,1
"Baron, Airship Kingdom",FIN,de,3
Basilisk Collar,PIP,de,1
Bastion of Remembrance,FIC,en,1
Bathe in Light,CMA,de,1
Battering Sliver,TSR,de,2
Battle-Mad Ronin,CHK,de,1
Battle-Rattle Shaman,FDN,de,1
Battle-Scarred Goblin,LTR,de,1
Battlefield Butcher,BRO,de,1
Battlefield Forge,BLC,de,1
Battlefield Forge,EOC,de,1
Battlefield Forge,FIC,de,1
Battlesong Berserker,FDN,de,2
Beacon Hawk,DIS,de,5
Beacon of Destruction,DDS,de,1
Beamsaw Prospector,EOE,de,2
Bear Cub,FDN,de,1
Beast-Kin Ranger,FDN,de,3
Beastmaster's Magemark,GPT,de,1
Beastrider Vanguard,DFT,de,1
Beckoning Will-o'-Wisp,CLB,de,1
Bedevil,BRC,de,1
Bedevil,FIC,de,1
Befoul,CHK,de,1
Behemoth Sledge,PIP,de,1
Behold the Unspeakable // Vision of the Unspeakable,NEO,en,1
Bellowing Crier,BLB,de,1
Belltower Sphinx,M12,de,2
Benalish Commander,TSR,en,1
Benevolent Ancestor,IMA,de,3
Bestow Greatness,DFT,de,5
Bewitching Leechcraft,LTR,en,1
"Bhaal, Lord of Murder",CLB,de,1
Bhaal's Invoker,CLB,de,1
Bident of Thassa,BLC,de,1
Big Score,FIC,de,1
Bigfin Bouncer,FDN,de,2
Bighorner Rancher,PIP,de,1
Bill the Pony,LTR,de,1
Billowing Shriekmass,FDN,de,1
Binding Grasp,CST,de,1
Bioengineered Future,EOE,de,1
Biogenic Upgrade,FDN,de,1
Biomechan Engineer,EOE,de,1
Biosynthic Burst,EOE,de,3
Biotech Specialist,EOE,de,1
Bird,TEOC,de,1
Bird,TFIN,de,1
Bird,TFIN,en,2
Birthday Escape,LTR,en,1
Bishop's Soldier,FDN,de,1
Bite Down,FDN,de,4
"Bjorna, Nightfall Alchemist",SLX,de,1
Black Dragon Gate,CLB,de,1
Black Mage's Rod,FIN,de,5
Black Waltz No. 3,FIN,de,1
Blacksmith's Talent,BLB,de,1
Blade Historian,STX,de,1
Blade of Selves,CLB,de,1
Blade of the Swarm,EOE,de,2
Blanchwood Armor,FDN,de,1
Blasphemous Act,BRC,de,1
Blasphemous Act,DRC,de,1
Blasphemous Act,PIP,de,1
Blast-Furnace Hellkite,BRC,de,1
Blazethorn Scarecrow,SHM,de,1
Blessed Hippogriff // Tyr's Blessing,CLB,de,2
Blessed Reversal,8ED,de,1
Blightspeaker,TSR,de,1
Blink,WHO,de,1
Blink Dog,AFR,en,1
Blitzball,FIN,de,1
Blitzball Shot,FIN,de,2
Blizzard Specter,IMA,de,1
Blood,TVOW,de,1
Blood Fountain,VOW,de,1
Blood Mist,INR,de,1
Blood Rites,CHK,de,2
Blood Servitor,VOW,de,1
Blood Speaker,CHK,de,1
Bloodfell Caves,NEO,en,2
Bloodfell Caves,TDM,de,3
Bloodforged Battle-Axe,MOC,de,1
Bloodforged Battle-Axe,PIP,de,1
Bloodtithe Collector,FDN,de,1
Blooming Stinger,EOE,de,2
Blossoming Sands,FDN,de,1
Blue Mage's Cane,FIC,en,1
Bog Serpent,PLC,de,1
Bogardan Lancer,FUT,de,1
Boggart Loggers,LRW,de,1
Boggart Mob,LRW,de,1
Bojuka Bog,DSC,de,1
Bombadil's Song,LTR,de,1
Bombard,EOE,de,3
