Name,Set code,Language,Quantity
Raucous Audience,TLA,de,3
Razor Rings,TLA,de,2
Realm of Koh,TLA,de,1
Rebellious Captives,TLA,de,3
Release to Memory,TLE,de,1
Rockalanche,TLA,de,3
Rocky Rebuke,TLA,de,3
Rough Rhino Cavalry,TLA,de,3
Rowdy Snowballers,TLA,de,3
Ruinous Waterbending,TLA,de,1
Rumble Arena,TLA,de,2
Saber-Tooth Moose-Lion,TLA,de,4
Sandbender Scavengers,TLA,de,1
Sandbenders' Storm,TLA,de,4
Secret Tunnel,TLA,de,1
Seismic Sense,TLA,de,1
Serpent of the Pass,TLA,de,1
Serpent's Pass,TLA,de,1
Shared Roots,TLA,de,1
Shattering Spree,TLE,de,1
Sledding Otter-Penguin,TLE,de,1
"Sokka, Lateral Strategist",TLA,de,1
Sokka's Haiku,TLA,de,2
Sold Out,TLA,de,2
Soldier,TTLE,de,6
Solid Ground,TLE,de,1
Solstice Revelations,TLA,de,1
South Pole Voyager,TLA,de,1
Southern Air Temple,TLA,de,1
Sozin's Comet,TLA,de,2
Sparring Dummy,TLA,de,1
Spirit,TTLA,de,3
"Suki, Courageous Rescuer",TLA,de,1
"Suki, Kyoshi Warrior",TLA,de,1
Sun Warriors,TLA,de,1
Sun-Blessed Peak,TLA,de,3
Swampsnare Trap,TLA,de,3
Tale of Katara and Toph,TLE,en,1
Tale of Momo,TLE,de,1
Team Avatar,TLA,de,2
"Teo, Spirited Glider",TLA,de,1
That's Rough Buddy,TLE,de,1
The Cave of Two Lovers,TLA,de,3
The Earth King,TLA,de,1
The Fire Nation Drill,TLA,de,1
The Legend of Kyoshi // Avatar Kyoshi,TLA,de,1
The Lion-Turtle,TLA,de,2
"The Mechanist, Aerial Artisan",TLA,de,1
The Spirit Oasis,TLA,de,1
The Unagi of Kyoshi Island,TLA,de,2
The Walls of Ba Sing Se,TLA,de,1
Thriving Bluff,TLE,de,1
Thriving Heath,TLE,de,1
Tiger-Dillo,TLA,de,1
Tiger-Seal,TLA,de,2
Tolls of War,TLA,de,1
"Toph, Earthbending Master",TLE,en,1
"Toph, Hardheaded Teacher",TLA,de,1
"Toph, the Blind Bandit",TLA,de,3
"Toph, the First Metalbender",TLA,de,2
Treetop Freedom Fighters,TLA,de,3
True Ancestry,TLA,de,1
Trusty Boomerang,TLA,de,1
Tundra Tank,TLA,de,1
Turtle-Duck,TLA,de,5
Twin Blades,TLA,de,2
"Ty Lee, Artful Acrobat",TLA,de,1
Uncle Iroh,TLA,de,1
United Front,TLA,de,1
Unlucky Cabbage Merchant,TLA,de,1
Vengeful Villagers,TLA,de,1
Vindictive Warden,TLA,de,2
Walltop Sentries,TLA,de,2
"Wan Shi Tong, Librarian",TLA,de,1
Wandering Musicians,TLA,de,3
War Balloon,TLA,de,1
Wartime Protestors,TLA,de,3
Water Tribe Captain,TLA,de,3
Water Tribe Rallier,TLA,de,1
Waterbender's Restoration,TLE,de,1
Waterbending Lesson,TLA,de,3
Waterbending Scroll,TLA,de,1
Watery Grasp,TLA,de,4
White Lotus Hideout,TLA,de,3
White Lotus Reinforcements,TLA,de,2
Wolf Cove Villager,TLE,de,1
Wolfbat,TLA,de,1
Yip Yip!,TLA,de,4
"Yue, the Moon Spirit",TLA,de,3
Yuyan Archers,TLA,de,2
"Zhao, Ruthless Admiral",TLA,de,1
"Zuko, Conflicted",TLA,de,1
"Zuko, Exiled Prince",TLA,de,1
Zuko's Conviction,TLA,de,1
Zuko's Exile,TLA,de,2
