Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Spider,TSPM,Marvel's Spider-Man Tokens,3,normal,common,1,108635,4a40f6e1-3545-4503-af3e-f0acfb735e3a,de,01.10.2025
Copy,TSPM,Marvel's Spider-Man Tokens,1,normal,common,1,108668,e980eddf-92f8-4dc4-8bad-b2f3dcaf03ef,de,01.10.2025
Kraven's Cats,SPM,Marvel's Spider-Man,104,normal,common,2,107649,86c415d8-1d2d-4339-955b-0f2aebeb3c95,de,01.10.2025
"Doc Ock, Sinister Scientist",SPM,Marvel's Spider-Man,29,normal,common,3,107678,de16ad65-c8c3-48c0-9d13-5af91b4e6f01,de,01.10.2025
Venomized Cat,SPM,Marvel's Spider-Man,72,normal,common,2,108527,6330f3e9-e031-4d55-b5d8-536c16bba063,de,01.10.2025
"Spider-Gwen, Free Spirit",SPM,Marvel's Spider-Man,90,normal,common,2,107626,3bc04fa7-6265-4549-91f6-eebdcd67398a,de,01.10.2025
Thwip!,SPM,Marvel's Spider-Man,20,normal,common,3,107666,b2dac88e-1204-4640-94ce-e1aff434ea06,de,01.10.2025
Mechanical Mobster,SPM,Marvel's Spider-Man,168,normal,common,2,107644,6c6d9ecc-2dd1-471a-8678-a2461b1084fa,de,01.10.2025
"Scarlet Spider, Kaine",SPM,Marvel's Spider-Man,143,normal,uncommon,2,108497,2cb00060-8cc5-42dc-bcbf-affd9e59f8fd,de,01.10.2025
Risky Research,SPM,Marvel's Spider-Man,62,normal,common,2,107617,1f8aa705-6177-42e9-95cb-e7f880c186e3,de,01.10.2025
Suburban Sanctuary,SPM,Marvel's Spider-Man,185,normal,common,2,108514,467df77a-a99c-4cfd-9af4-502eaa2eb2e3,de,01.10.2025
Treasure,TSPM,Marvel's Spider-Man Tokens,7,normal,common,3,108663,d52efeb3-661d-45e9-97c3-af167f889684,de,01.10.2025
Human Citizen,TSPM,Marvel's Spider-Man Tokens,4,normal,common,3,108633,398fbcd8-fac7-4396-9c69-5c72695121a9,de,01.10.2025
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
