Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date,,,,
Ancient Den,C21,Commander 2021,276,normal,common,1,58495,0a508907-a127-45cd-898a-e936bc08391f,de,02.08.2025,,,,
Great Furnace,C21,Commander 2021,292,normal,common,1,58734,f0ac295e-93e4-490b-b8a3-a9794c7f56e4,de,02.08.2025,,,,
Evolving Wilds,DRC,Aetherdrift Commander,154,normal,common,1,103090,6a28f0c0-6673-4fe1-b2a1-1f9ed236eff7,de,02.08.2025,,,,
Buried Ruin,ONC,Phyrexia: All Will Be One Commander,147,normal,uncommon,1,78892,dd138d22-6381-495e-bc69-91b643708d38,de,02.08.2025,,,,
Razortide Bridge,MH2,Modern Horizons 2,252,normal,common,1,59858,e7ea7395-430e-4036-92c9-17a850ec2371,de,02.08.2025,,,,
Mystic Monastery,TDM,Tarkir: Dragonstorm,262,normal,uncommon,1,104945,c7b8a01c-c400-47c7-8270-78902efe850e,de,02.08.2025,,,,
Lonely Sandbar,MKC,Murders at Karlov Manor Commander,273,normal,common,1,90361,5833825f-aeb0-41bb-92a4-13e869765295,de,02.08.2025,,,,
Rustvale Bridge,MH2,Modern Horizons 2,253,normal,common,1,59443,2207467a-b82a-47ae-8867-15a859328fe9,de,02.08.2025,,,,
Seat of the Synod,C18,Commander 2018,278,normal,common,1,565,1fedc183-2d95-471c-ba78-2169e4df13f8,de,02.08.2025,,,,
Secluded Steppe,MKC,Murders at Karlov Manor Commander,289,normal,common,1,90286,22dd757f-e43a-430f-ae79-66fc7dc12525,de,02.08.2025,,,,
Sulfur Falls,TDC,Tarkir: Dragonstorm Commander,396,normal,rare,1,104538,33399b6b-67ae-499c-81aa-35132509d2d8,de,02.08.2025,,,,
Spire of Industry,DRC,Aetherdrift Commander,172,normal,rare,1,103017,47b550aa-5304-491e-b486-58a6258986b7,de,02.08.2025,,,,
Silverbluff Bridge,MH2,Modern Horizons 2,255,normal,common,1,59825,d80dc025-c2c4-48c2-8354-7d9ddb430eb9,de,02.08.2025,,,,
Temple of Enlightenment,TDC,Tarkir: Dragonstorm Commander,401,normal,rare,1,104489,20d3434d-d88e-4d00-84a7-ed027faac70f,de,02.08.2025,,,,
Temple of Epiphany,TDC,Tarkir: Dragonstorm Commander,402,normal,rare,1,104724,700b88b4-c461-45c8-90cb-9626c5c8338f,de,02.08.2025,,,,
Temple of Triumph,TDC,Tarkir: Dragonstorm Commander,407,normal,rare,1,104657,56f75be9-7373-4ceb-850d-425ef3be9bfc,de,02.08.2025,,,,
Thirst for Knowledge,EOC,Edge of Eternities Commander,48,normal,uncommon,1,107265,446ccc7a-fc2d-4e81-b782-31137119db00,de,02.08.2025,,,,
Tezzeret's Gambit,EOC,Edge of Eternities Commander,47,normal,uncommon,1,107249,29ad5bb3-927d-41d0-a000-3826ea117e52,de,02.08.2025,,,,
Swords to Plowshares,EOC,Edge of Eternities Commander,45,normal,uncommon,1,107228,0e7ff4dc-af63-4342-9a44-d059e62bd14c,de,02.08.2025,,,,
Arcane Signet,EOC,Edge of Eternities Commander,53,normal,common,1,107001,3d994115-378d-4685-a5dc-e448831da434,de,02.08.2025,,,,
Pentad Prism,EOC,Edge of Eternities Commander,56,normal,uncommon,1,107345,e4beb84e-9eb9-48a2-932a-91fbbf218b5b,de,02.08.2025,,,,
Sol Ring,EOC,Edge of Eternities Commander,57,normal,uncommon,1,107201,ee6e5a35-fe21-4dee-b0ef-a8f2841511ad,de,02.08.2025,,,,
Experimental Augury,ONE,Phyrexia: All Will Be One,49,normal,common,1,78917,e508ae5d-ffb5-4480-be90-a4394954b559,de,02.08.2025,,,,
Thrummingbird,ONE,Phyrexia: All Will Be One,72,normal,uncommon,1,78600,67f0a63e-0866-423e-b917-fc7c71063021,de,02.08.2025,,,,
Enthusiastic Mechanaut,NEO,Kamigawa: Neon Dynasty,218,normal,uncommon,1,66434,ac00521f-1b7d-478d-afe8-6761ea512d8d,de,02.08.2025,,,,
Dispatch,NEC,Neon Dynasty Commander,83,normal,uncommon,1,66970,06bafa7d-1915-487a-96c8-b8aeafed20d4,de,02.08.2025,,,,
Command Tower,EOC,Edge of Eternities Commander,59,normal,common,1,107080,85eb4b03-305b-45a4-82e5-5fcd586cc744,de,02.08.2025,,,,
Etherium Sculptor,NEC,Neon Dynasty Commander,92,normal,common,1,67084,ed796f1a-683d-4ac5-af48-ca58a557a74f,de,02.08.2025,,,,
Astral Cornucopia,CM2,Commander Anthology Volume II,172,normal,rare,1,1565,182864e2-81ef-41bc-94cd-b0ea67f60bda,de,02.08.2025,,,,
Wake the Past,C21,Commander 2021,75,normal,rare,1,58659,aeae7fda-05f5-40af-90cc-b80521ee0521,de,02.08.2025,,,,
"Jhoira, Weatherlight Captain",2XM,Double Masters,203,normal,rare,1,51886,4f77d23d-6257-4dae-b585-29f45f13f2e2,de,02.08.2025,,,,
Crystalline Crawler,CM2,Commander Anthology Volume II,183,normal,rare,1,1554,02b90a7c-288d-420a-91b2-bd9ced5767e4,de,02.08.2025,,,,
Darksteel Reactor,DST,Darksteel,114,normal,rare,1,29547,1b2f1e30-7b30-4853-aeac-3b0933d4ac5e,de,02.08.2025,,,,
Empowered Autogenerator,C19,Commander 2019,54,normal,rare,1,45880,2c9b8d53-97c9-4e3d-a8c6-6abd78db6390,de,02.08.2025,,,,
Hangarback Walker,CMM,Commander Masters,951,normal,rare,1,84189,2d2c323f-eecd-4560-a128-ab513d231552,de,02.08.2025,,,,
Lux Artillery,ONC,Phyrexia: All Will Be One Commander,27,normal,rare,1,78744,a3c9579b-e3e7-4dc7-a775-b7c8d2758f24,de,02.08.2025,,,,
Lux Cannon,2XM,Double Masters,268,normal,rare,1,51972,a13b7fee-100b-444e-9f13-45b36fd10295,de,02.08.2025,,,,
Titan Forge,MBS,Mirrodin Besieged,141,normal,rare,1,20000,7a3bb4ab-6fe7-4926-a929-3e37691f287a,de,02.08.2025,,,,
Threefold Thunderhulk,LCI,The Lost Caverns of Ixalan,265,normal,rare,1,88308,1917c62f-d463-43eb-87ad-89ffbc88b6fe,de,02.08.2025,,,,
Steel Overseer,C21,Commander 2021,267,normal,rare,1,58549,3f1b0b1f-a152-4bc8-923c-1b3a7f151295,de,02.08.2025,,,,
Adarkar Wastes,TDC,Tarkir: Dragonstorm Commander,338,normal,rare,1,104483,1f056e21-63b3-4684-be5b-04ac220c4a52,de,02.08.2025,,,,
