Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Blitzball Shot,FIN,Final Fantasy,176,normal,common,1,106417,ec8ab637-3d7d-4712-9f83-8920f808f715,de,08.06.2025
Summon: G.F. Ifrit,FIN,Final Fantasy,163,normal,common,1,106648,c6c73092-5195-4bdc-b039-a699f6e297b2,de,08.06.2025
Fight On!,FIN,Final Fantasy,100,normal,common,1,106673,e1b0739a-dcc4-4034-96d7-69e551b2f36b,de,08.06.2025
Magitek Infantry,FIN,Final Fantasy,25,normal,common,1,106635,b64dc6d7-dd01-4e66-9099-4c90865448df,de,08.06.2025
Summon: Esper Ramuh,FIN,Final Fantasy,161,normal,uncommon,1,106286,840659ee-1493-4190-a514-c2c9ae14e331,de,08.06.2025
Capital City,FIN,Final Fantasy,274,normal,uncommon,1,106379,f73ce8ec-c916-48eb-ae20-c0d6d03d7145,de,08.06.2025
Paladin's Arms,FIN,Final Fantasy,28,normal,common,1,106338,446506c5-5e1d-4b42-aef3-ea247d7881ef,de,08.06.2025
The Masamune,FIN,Final Fantasy,264,normal,rare,1,106694,fc408575-8ef7-4043-b6b7-b38cef7c97d1,de,08.06.2025
The Wandering Minstrel,FIN,Final Fantasy,249,normal,rare,1,106578,77bc419d-ff69-4e7c-afe6-faca383a5ed7,de,08.06.2025
"Garland, Knight of Cornelia // Chaos, the Endless",FIN,Final Fantasy,221,normal,uncommon,1,103808,dd463dbe-5f2c-4d4f-86f8-ad8ff407af62,de,08.06.2025
Dragoon's Lance,FIN,Final Fantasy,17,normal,uncommon,1,105671,96630531-8eb7-4e3e-8d63-60c562a5571b,de,08.06.2025
"Baron, Airship Kingdom",FIN,Final Fantasy,273,normal,common,1,106570,6e4bf840-802d-47d5-bffd-8ba495e19cf6,de,08.06.2025
Hero,TFIN,Final Fantasy Tokens,3,normal,common,1,105882,3308e4bf-950f-4b83-969a-2a95f077552f,de,08.06.2025
Magic Damper,FIN,Final Fantasy,61,normal,common,2,106540,44921b2e-5938-4f63-92b9-0b719a2f8c68,de,08.06.2025
Treasure,TFIN,Final Fantasy Tokens,23,normal,common,6,106110,ab0cda01-10b5-4a1b-b2bb-ad8bb296590f,de,08.06.2025
Coliseum Behemoth,FIN,Final Fantasy,181,normal,uncommon,2,106594,900206f1-7dd6-4db9-a430-73e560fd196b,de,08.06.2025
Iron Giant,FIN,Final Fantasy,260,normal,common,2,106675,e48cf6d5-4d32-4b66-80be-3495ecd3e906,de,08.06.2025
"Terra, Herald of Hope",FIC,Final Fantasy Commander,4,normal,mythic,1,103788,5aa1a2d7-6133-41a9-9662-9008d1309935,de,08.06.2025
"Celes, Rune Knight",FIC,Final Fantasy Commander,1,normal,mythic,1,105583,30584c53-533b-4dc7-b07c-8600164a99b3,de,08.06.2025
"Cyan, Vengeful Samurai",FIC,Final Fantasy Commander,16,normal,rare,1,106089,a1e779b4-32dd-406b-8b68-48f6df458005,de,08.06.2025
Coin of Fate,FIC,Final Fantasy Commander,15,normal,rare,1,106170,cde3765f-e25c-4d16-b361-448167ed8736,de,08.06.2025
